vx,vy,omega,vx_cmd,vy_cmd,omega_cmd,filtered_x,filtered_y,x,y,filtered_theta
0.0,0.0,0.0,1.39231,0.0,0.0,0.110626,-0.15029,0.110626,-0.15029,-2.82309
-0.2989359652697087,-0.10133687882239134,-0.1673996670002365,1.39231,0.0,0.0,0.10132752972598107,-0.15344210635341826,0.0991685,-0.154174,-2.8293645612063396
-0.433574591410744,-0.14930152079536613,-0.28409528705730336,1.39231,0.0,0.0,0.09051228663585702,-0.1572124752493226,0.0875943,-0.158252,-2.8380396543435062
-0.5091305808505386,-0.18455412423636094,-0.4102916386558535,1.39231,0.0,0.0,0.07937004670302739,-0.16156327290495853,0.0764172,-0.162941,-2.8506018874492014
-0.5642588917255064,-0.21304713940891673,-0.5247349641206639,1.39231,0.0,0.0,0.06777318261384181,-0.1662996685719,0.0647736,-0.16785,-2.865607127897965
-0.6106064914996459,-0.2342646569419677,-0.5950608993827998,1.39231,0.0,0.0,0.055689401180185186,-0.17110726714165883,0.0526908,-0.17248,-2.8797757240453348
-0.6524924741312905,-0.2484487550890581,-0.6538647206603213,1.39231,0.0,0.0,0.04311532555529788,-0.17580516265620366,0.0401805,-0.176799,-2.8945090580156916
-0.6890277364499714,-0.2641129491515963,-0.6981933907345574,1.39231,0.0,0.0,0.030229845905336346,-0.18082887370657375,0.0275916,-0.18196,-2.909126874564937
-0.7197222623703468,-0.28011242416502696,-0.7329607292410701,1.39231,0.0,0.0,0.017159857863711006,-0.18612091773068326,0.0149266,-0.187285,-2.9236926024453425
-0.7488573329180739,-0.29581028632318784,-0.7369062665573167,1.39231,0.0,0.0,0.0037104746985788177,-0.1916446549303169,0.00159215,-0.192786,-2.935816714574563
-0.7778049094824686,-0.3122976309230364,-0.7489195132531361,1.39231,0.0,0.0,-0.010187820799882837,-0.19746922331812322,-0.0122873,-0.198665,-2.948839776529731
-0.8017073522418414,-0.3265062112248319,-0.7628758421083743,1.39231,0.0,0.0,-0.024213317599885726,-0.2034055689330076,-0.0259434,-0.204434,-2.9622779355544036
-0.820516824493268,-0.3371230396260944,-0.7768429246449663,1.39231,0.0,0.0,-0.03828391193579838,-0.20933142406647223,-0.0396438,-0.210099,-2.975957777421832
-0.8396776989327046,-0.3438347715022093,-0.7526402020091599,1.39231,0.0,0.0,-0.05267858599329692,-0.21516899301379602,-0.0540632,-0.215654,-2.9858120446921537
-0.8583750117769904,-0.3535828878573442,-0.7328094760619517,1.39231,0.0,0.0,-0.06734925929399789,-0.22131466738810698,-0.0687002,-0.222019,-2.9957378532855423
-0.8726450057180731,-0.36409927670495446,-0.7466556424070621,1.39231,0.0,0.0,-0.0820265254256755,-0.2276671411521792,-0.0830576,-0.228427,-3.0089475599680795
-0.885798397645112,-0.37029504365142957,-0.7477210792715405,1.39231,0.0,0.0,-0.09685834863174818,-0.23390229987790895,-0.0978088,-0.23435,-3.0210090338931326
-0.9011043304592445,-0.3738361332038322,-0.7560490010716316,1.39231,0.0,0.0,-0.11204295047147499,-0.24006111096158195,-0.113149,-0.240317,-3.0338724738421745
-0.9191091377751508,-0.3799320518842527,-0.7573372464011408,1.39231,0.0,0.0,-0.12765087847979434,-0.24644547704180583,-0.128952,-0.246886,-3.0461088266068272
-0.9336159478384227,-0.38360042603221894,-0.7818896514468442,1.39231,0.0,0.0,-0.1433156433561088,-0.2527668993752916,-0.144364,-0.253032,-3.060888024719405
-0.9441199995222253,-0.3794052689361967,-0.8447601596262562,1.39231,0.0,0.0,-0.15894790283718688,-0.2586271717612411,-0.159707,-0.258324,-3.080247536092287
-0.9569197907180069,-0.37164626341866647,-0.8884686938734291,1.39231,0.0,0.0,-0.17489999403661272,-0.2641847221449078,-0.175825,-0.263624,-3.0985642468706036
-0.9751621103960357,-0.3669990349565604,-0.891095762061255,1.39231,0.0,0.0,-0.1914166768508923,-0.2698238426433106,-0.192735,-0.269488,-3.1130675920384245
-0.9910444808248542,-0.3663787859689025,-0.9514943594567496,1.39231,0.0,0.0,-0.20806922435076763,-0.2756548237048547,-0.209217,-0.27561,-3.1338975460529364
-1.0001722907627761,-0.3665169299281953,-1.0395199463103366,1.39231,0.0,0.0,-0.22452935827767512,-0.28152601671596406,-0.225189,-0.281536,3.124341587563326
-1.0036402865857101,-0.35993853486436256,-1.125085258941373,1.39231,0.0,0.0,-0.2407613775400824,-0.28695540240455447,-0.241012,-0.28648,3.0981532479519895
-1.014107311168063,-0.35044682085256795,-1.1791533670023762,1.39231,0.0,0.0,-0.2575115771949556,-0.292086939818044,-0.258268,-0.291401,3.074099783594932
-1.029237941952782,-0.3449321888357368,-1.1993110468068133,1.39231,0.0,0.0,-0.27473755137151523,-0.29732952712693855,-0.275831,-0.296931,3.0529976896260203
